band_index,band_name,category,source,date,variable,resampling,units,description,original_scale,applied_scale_factor,output_scale
1,S2_20210826_B2,sentinel2_reflectance,S2_20210826.nc,2021-08-26,B2,bilinear,reflectance,,physical_reflectance_0_1,10000,scaled_reflectance_like_main_stack
2,S2_20210826_B3,sentinel2_reflectance,S2_20210826.nc,2021-08-26,B3,bilinear,reflectance,,physical_reflectance_0_1,10000,scaled_reflectance_like_main_stack
3,S2_20210826_B4,sentinel2_reflectance,S2_20210826.nc,2021-08-26,B4,bilinear,reflectance,,physical_reflectance_0_1,10000,scaled_reflectance_like_main_stack
4,S2_20210826_B8,sentinel2_reflectance,S2_20210826.nc,2021-08-26,B8,bilinear,reflectance,,physical_reflectance_0_1,10000,scaled_reflectance_like_main_stack
5,S2_20210826_B11,sentinel2_reflectance,S2_20210826.nc,2021-08-26,B11,bilinear,reflectance,,physical_reflectance_0_1,10000,scaled_reflectance_like_main_stack
6,S2_20210826_B12,sentinel2_reflectance,S2_20210826.nc,2021-08-26,B12,bilinear,reflectance,,physical_reflectance_0_1,10000,scaled_reflectance_like_main_stack
7,S2_20210905_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-05,B2,none,reflectance,,,,
8,S2_20210905_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-05,B3,none,reflectance,,,,
9,S2_20210905_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-05,B4,none,reflectance,,,,
10,S2_20210905_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-05,B8,none,reflectance,,,,
11,S2_20210905_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-05,B11,none,reflectance,,,,
12,S2_20210905_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-05,B12,none,reflectance,,,,
13,S2_20210910_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-10,B2,none,reflectance,,,,
14,S2_20210910_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-10,B3,none,reflectance,,,,
15,S2_20210910_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-10,B4,none,reflectance,,,,
16,S2_20210910_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-10,B8,none,reflectance,,,,
17,S2_20210910_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-10,B11,none,reflectance,,,,
18,S2_20210910_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-10,B12,none,reflectance,,,,
19,S2_20210920_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-20,B2,none,reflectance,,,,
20,S2_20210920_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-20,B3,none,reflectance,,,,
21,S2_20210920_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-20,B4,none,reflectance,,,,
22,S2_20210920_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-20,B8,none,reflectance,,,,
23,S2_20210920_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-20,B11,none,reflectance,,,,
24,S2_20210920_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-20,B12,none,reflectance,,,,
25,S2_20210925_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-25,B2,none,reflectance,,,,
26,S2_20210925_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-25,B3,none,reflectance,,,,
27,S2_20210925_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-25,B4,none,reflectance,,,,
28,S2_20210925_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-25,B8,none,reflectance,,,,
29,S2_20210925_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-25,B11,none,reflectance,,,,
30,S2_20210925_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-25,B12,none,reflectance,,,,
31,S2_20210930_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-30,B2,none,reflectance,,,,
32,S2_20210930_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-30,B3,none,reflectance,,,,
33,S2_20210930_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-30,B4,none,reflectance,,,,
34,S2_20210930_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-30,B8,none,reflectance,,,,
35,S2_20210930_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-30,B11,none,reflectance,,,,
36,S2_20210930_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-09-30,B12,none,reflectance,,,,
37,S2_20211005_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-05,B2,none,reflectance,,,,
38,S2_20211005_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-05,B3,none,reflectance,,,,
39,S2_20211005_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-05,B4,none,reflectance,,,,
40,S2_20211005_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-05,B8,none,reflectance,,,,
41,S2_20211005_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-05,B11,none,reflectance,,,,
42,S2_20211005_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-05,B12,none,reflectance,,,,
43,S2_20211010_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-10,B2,none,reflectance,,,,
44,S2_20211010_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-10,B3,none,reflectance,,,,
45,S2_20211010_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-10,B4,none,reflectance,,,,
46,S2_20211010_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-10,B8,none,reflectance,,,,
47,S2_20211010_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-10,B11,none,reflectance,,,,
48,S2_20211010_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-10,B12,none,reflectance,,,,
49,S2_20211015_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-15,B2,none,reflectance,,,,
50,S2_20211015_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-15,B3,none,reflectance,,,,
51,S2_20211015_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-15,B4,none,reflectance,,,,
52,S2_20211015_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-15,B8,none,reflectance,,,,
53,S2_20211015_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-15,B11,none,reflectance,,,,
54,S2_20211015_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-15,B12,none,reflectance,,,,
55,S2_20211020_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-20,B2,none,reflectance,,,,
56,S2_20211020_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-20,B3,none,reflectance,,,,
57,S2_20211020_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-20,B4,none,reflectance,,,,
58,S2_20211020_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-20,B8,none,reflectance,,,,
59,S2_20211020_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-20,B11,none,reflectance,,,,
60,S2_20211020_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-20,B12,none,reflectance,,,,
61,S2_20211025_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-25,B2,none,reflectance,,,,
62,S2_20211025_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-25,B3,none,reflectance,,,,
63,S2_20211025_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-25,B4,none,reflectance,,,,
64,S2_20211025_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-25,B8,none,reflectance,,,,
65,S2_20211025_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-25,B11,none,reflectance,,,,
66,S2_20211025_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-25,B12,none,reflectance,,,,
67,S2_20211030_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-30,B2,none,reflectance,,,,
68,S2_20211030_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-30,B3,none,reflectance,,,,
69,S2_20211030_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-30,B4,none,reflectance,,,,
70,S2_20211030_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-30,B8,none,reflectance,,,,
71,S2_20211030_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-30,B11,none,reflectance,,,,
72,S2_20211030_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-10-30,B12,none,reflectance,,,,
73,S2_20211104_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-04,B2,none,reflectance,,,,
74,S2_20211104_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-04,B3,none,reflectance,,,,
75,S2_20211104_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-04,B4,none,reflectance,,,,
76,S2_20211104_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-04,B8,none,reflectance,,,,
77,S2_20211104_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-04,B11,none,reflectance,,,,
78,S2_20211104_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-04,B12,none,reflectance,,,,
79,S2_20211109_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-09,B2,none,reflectance,,,,
80,S2_20211109_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-09,B3,none,reflectance,,,,
81,S2_20211109_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-09,B4,none,reflectance,,,,
82,S2_20211109_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-09,B8,none,reflectance,,,,
83,S2_20211109_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-09,B11,none,reflectance,,,,
84,S2_20211109_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-09,B12,none,reflectance,,,,
85,S2_20211114_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-14,B2,none,reflectance,,,,
86,S2_20211114_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-14,B3,none,reflectance,,,,
87,S2_20211114_B4,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-14,B4,none,reflectance,,,,
88,S2_20211114_B8,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-14,B8,none,reflectance,,,,
89,S2_20211114_B11,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-14,B11,none,reflectance,,,,
90,S2_20211114_B12,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-14,B12,none,reflectance,,,,
91,S2_20211119_B2,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-19,B2,none,reflectance,,,,
92,S2_20211119_B3,sentinel2_reflectance,S2_LaPalma_stack_EPSG32628_10m.nc,2021-11-19,B3,none,reflectance,,,,
