highway,affected_road_segment_count,intersected_road_length_m,intersected_road_length_km
service,186,10766.492778676084,10.766492778676083
track,98,7305.459118107578,7.305459118107579
secondary,81,6296.009043225984,6.296009043225984
tertiary,6,2468.865701766164,2.468865701766164
proposed,1,1947.2966002958476,1.9472966002958476
unclassified,20,1818.8111620274772,1.8188111620274772
residential,33,1442.400205062311,1.442400205062311
construction,13,1031.0279106384955,1.0310279106384956
footway,14,624.891048332787,0.624891048332787
path,10,331.2822266374625,0.3312822266374625
tertiary_link,1,148.98141653457358,0.14898141653457359
